tipo,pregunta,respuesta,fuente
respuesta_directa,¿Cuántos créditos europeos pueden reconocerse por participar en actividades universitarias?,Se pueden reconocer hasta un máximo de 6 créditos europeos por participar en actividades universitarias.,C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,¿Qué tipo de actividades se incluyen en el Catálogo General de Actividades Universitarias Acreditables?,"Se incluyen actividades universitarias culturales, deportivas, de representación estudiantil, solidarias y de cooperación en el Catálogo General de Actividades Universitarias Acreditables.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,¿Cuál es el procedimiento para que una actividad sea incluida en el Catálogo General?,"El procedimiento para que una actividad sea incluida en el Catálogo General de Actividades Universitarias Acreditables es el siguiente:

1. La propuesta de inclusión se dirige al Vicerrector de Alumnos.
2. El Vicerrector remitirá la propuesta a todas las Jefaturas de Estudio y Coordinadores de Titulaciones, estableciendo un plazo de al menos 2 semanas para objeciones y sugerencias.
3. Transcurrido el plazo, el Vicerrector elevará la propuesta junto con las objeciones y sugerencias a la Comisión de Reconocimiento y Transferencia de Créditos (CRTC) para que tome un acuerdo sobre la inclusión.
4. Si se acuerda la inclusión, se realizarán los trámites necesarios para llevar a cabo dicho acuerdo.",C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,¿Qué artículos normativos regulan las actividades culturales y deportivas?,"Los artículos que regulan las actividades culturales y deportivas son el Artículo 13, que trata sobre los créditos por la participación en estas actividades, y el Artículo 17, que se refiere a la calificación de los créditos reconocidos por actividades universitarias culturales, deportivas, de representación estudiantil, solidarias y de cooperación.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Cuál es el número máximo de créditos por representación estudiantil?,El número máximo de créditos europeos que podrán ser reconocidos a un estudiante en un curso académico por actividades de representación estudiantil no podrá ser superior a 3.,C:/Users/David/Desktop/Chatbot/Datos\ActividadesAcreditablesEstudiosGrado\normativa_recono_trans_creditos_20130131.pdf
respuesta_directa,¿Cuál es el primer día lectivo del curso 2024-2025 en la UPM?,El primer día lectivo del curso 2024-2025 en la UPM es el 3 de septiembre de 2024.,C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS27759.pdf
respuesta_directa,¿Qué días festivos hay en diciembre de 2023 según el calendario académico?,"Los días festivos en diciembre de 2023 son: 

- 6 de diciembre (Miércoles) - Día de la Constitución
- 8 de diciembre (Viernes) - La Inmaculada Concepción
- 25 de diciembre (Lunes) - Natividad del Señor",C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS13378.pdf
respuesta_directa,¿En qué fechas se celebra la convocatoria ordinaria de exámenes en enero?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS27759.pdf
respuesta_directa,¿Cuándo comienza el segundo semestre del curso 2025-2026?,El segundo semestre del curso 2025-2026 comienza el lunes 31 de enero.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Qué día se celebra el examen de nivelación de inglés en diciembre de 2024?,El examen de nivelación de inglés se celebra el 5 de diciembre de 2024.,C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS24032.pdf
respuesta_directa,¿Cuáles son las fechas del periodo ordinario de matrícula 2024?,"El periodo ordinario de matrícula 2024 es del 12 al 16 de julio para estudiantes admitidos por la vía de la preinscripción del periodo ordinario, y del 17 de julio al 2 de agosto para todos los estudiantes matriculados en cursos anteriores.",C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS15354.pdf
respuesta_directa,¿Cómo puedo modificar asignaturas en mi matrícula?,"Puedes modificar asignaturas en tu matrícula cambiando la modalidad de matrícula a tiempo completo o parcial, cancelando asignaturas sueltas o ampliando asignaturas, siempre dentro de los plazos establecidos para los periodos ordinario y extraordinario de matrícula. Si deseas cancelar asignaturas, debes hacerlo dentro de los 5 días hábiles siguientes a la matriculación para obtener el 100% de la devolución, o entre el sexto día y el 21 de septiembre de 2024 para obtener el 50%. Fuera de estos plazos, solo se podrá modificar la matrícula de forma excepcional y con justificación documental.",C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS17391.pdf
respuesta_directa,¿Qué sucede si no pago la matrícula en los plazos establecidos?,"Si no se abona la matrícula en los plazos fijados, se iniciará de oficio el procedimiento de anulación de matrícula por impago, lo que conlleva la pérdida del derecho a seguir cursando los estudios, presentarse a exámenes, realizar prácticas y obtener calificaciones. Además, se generará una deuda a favor de la UPM por la cantidad pendiente.",C:/Users/David/Desktop/Chatbot/Datos\secretaria-alumnos\resumen_normas_de_matricula_2024-25.pdf
respuesta_directa,¿Qué documentos debo entregar si soy estudiante de nuevo ingreso?,"Debes entregar los siguientes documentos:

1. Copia del Pasaporte. (Los/as estudiantes que hayan realizado automatrícula con DNI o con NIE no tienen que presentar copia de su documento de identidad).
2. Resguardo de haber abonado en la universidad de origen los derechos del traslado de expediente si has cambiado de carrera o Centro.
3. Documentación que acredite la/s exención/es si has aplicado alguna exención en tu matrícula, como:
   - Matrícula de honor en la calificación final de 2º de Bachillerato o Ciclo Formativo de Grado Superior.
   - Premio extraordinario de Bachillerato o Ciclo Formativo de Grado Superior.
   - Medalla en olimpiadas académicas acreditadas de ámbito nacional o internacional. 

Estos documentos deben ser entregados hasta el 30 de septiembre de 2024.",C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS17391.pdf
respuesta_directa,¿Qué formas de pago existen para la matrícula en la UPM?,"Las formas de pago para la matrícula en la UPM son: tarjeta de crédito/débito online, Bizum, domiciliación bancaria y recibo bancario.",C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS17136.pdf
respuesta_directa,¿Qué servicios ofrece la tarjeta universitaria virtual?,La tarjeta universitaria virtual ofrece identificación universitaria válida durante la permanencia en la universidad y permite el préstamo de libros en las bibliotecas universitarias mediante el código de barras que dispone.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Dónde se encuentra la Secretaría de Alumnos?,"La Secretaría de Alumnos se encuentra en la planta baja del Bloque VIII, también conocido como Edificio Prisma.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Qué normativa regula la permanencia en la UPM?,"La normativa que regula la permanencia en la UPM es la ""Normativa de regulación de la permanencia de los estudiantes de la UPM"".",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Cómo se accede al repositorio de software gratuito?,"Para acceder al repositorio de software gratuito de la UPM, es imprescindible estar conectado a una red de la escuela o a través de la VPN de la UPM. La URL del repositorio es https://software.upm.es, y se necesita el número de matrícula como usuario y la contraseña del CIC.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Qué pasos debo seguir para reconocer créditos si estudié fuera?,"Para reconocer créditos si estudiaste fuera, debes seguir estos pasos:

1. Asegúrate de estar admitido y matriculado en la titulación correspondiente.
2. Presenta la solicitud de reconocimiento de créditos entre el 10 y el 30 de septiembre de 2024, enviándola por correo electrónico a la Escuela/Facultad donde fuiste admitido.
3. Adjunta la documentación necesaria, que incluye:
   - DNI o NIE en vigor.
   - Documento que acredite la calificación que te permitió acceder a los estudios universitarios.
   - Certificación académica personal con las calificaciones de las asignaturas superadas y la nota media ponderada.
4. Si no tienes las calificaciones de la convocatoria ordinaria del segundo semestre a la fecha de finalización del plazo, incluye una declaración responsable de las asignaturas presentadas.
5. Envía el certificado de notas actualizado al correo electrónico de la Escuela/Facultad y a admisiongrado@upm.es hasta el 5 de julio de 2024. 

Recuerda que las solicitudes presentadas fuera del plazo no serán admitidas.",C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS13710.pdf
